大項目,単位,元の文章,数値,統一,検索用文章(正規表現を用いることがある),memo,105,1
学力向上に向けた取組,学校,児童の学力について、現状把握と分析を行い、課題を把握しましたか,,s1,現状把握と分析を行い,,1,
学力向上に向けた取組,学校,授業改善の必要性について、共通理解を図りましたか,,s2,授業改善の必要性,2017のみ,1,
学力向上に向けた取組,学校,学校の課題を明確化した上で、目標を重点化しましたか,,s3,学校の課題を明確化,,1,
学力向上に向けた取組,学校,目標達成に向けて、学校の組織的な取組や教職員の具体的な行動が示されていましたか,,s4,学校の組織的な取組や教職員の具体的な行動,,1,
学力向上に向けた取組,学校,他校の取組や研究を参考にしていましたか,,s5,他校の取組や研究を参考にしていましたか,,1,
学力向上に向けた取組,学校,学校の現状・分析・課題等について、教職員の間で話し合う機会を設けましたか,,s6,教職員の間で話し合う機会,,1,
学力向上に向けた取組,学校,校内で教員同士が授業を見合う機会はありましたか,,s7,教員同士が授業を見合う機会,2017のみ,1,
学力向上に向けた取組,学校,県教育委員会（あるいは教育事務所）が学力向上に関して貴校を訪問する回数はどれくらいありましたか（教育事務所が実施している定例の訪問を除きます） ,,s8,県教育委員会.*が学力向上に関して貴校を訪問する回数,2017のみ,1,
学力向上に向けた取組,学校,県教育委員会(あるいは教育事務所)が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか（教育事務所が実施している定例の訪問を除きます。当てはまるもの全てに回答してください。）,m,s9,県教育委員会.*どのようなことが行われていましたか,2017のみ,1,
学力向上に向けた取組,学校,"市町村教育委員会が学力向上に関して貴校を訪問する回数はどれくらいありましたか
※該当がない場合は0を入力",m,s10,市町村教育委員会が学力向上に関して貴校を訪問する回数,,1,
学力向上に向けた取組,学校,市町村教育委員会が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか（当てはまるもの全てに回答してください）,m,s11,市町村教育委員会が学力向上に関して貴校を訪問する際に、どのようなことが行われていましたか,,1,
学力向上に向けた取組,学校,教科等を相互に関連付けて思考力・判断力・表現力等を育む指導について、教職員で共通理解を図りましたか,,s12,教科等を相互に関連付けて思考力・判断力・表現力等を育む指導,,1,
教職員の取組,学校,学校の教育目標やその達成に向けた方策について、全教職員の間で共有し、取組に当たっていましたか,,s13,学校の教育目標やその達成に向けた方策について、全教職員の間で共有し、取組に当たっていましたか,,1,
教職員の取組,学校,教職員は，授業研究に意欲を持って取り組んでいましたか,,s14,教職員は，授業研究に意欲を持って取り組んでいましたか,2017のみ,1,
教職員の取組,学校,教職員は、校内外の研修や研究会に参加し、その成果を教育活動に積極的に反映させていましたか,,s15,校内外の研修や研究会に参加,,1,
教職員の取組,学校,教職員と児童は、互いに友好な関係にありましたか,,s16,互いに友好な関係,,1,
教職員の取組,学校,教職員同士が、お互いに助け合う協力的な雰囲気がありましたか,,s17,協力的な雰囲気,,1,
教職員の取組,学校,教職員は、学校の意思決定に積極的に参加していましたか,,s18,学校の意思決定に,,1,
教職員の取組,学校,学級・学年運営の状況や課題を全教職員の間で共有し、学校として組織的に取り組みましたか,,s19,課題を全教職員の間で共有,,1,
教職員の取組,学校,休み時間などの短い時間でも，授業や教育実践に関する話が教員間で交わされていましたか  ,,s20,授業や教育実践に関する話,2017のみ,1,
教職員の取組,学校,児童に対して、自分のよさや成長を実感させるような具体的な活動を行いましたか,,s21,自分のよさや成長を実感,,1,
教職員の取組,学校,児童一人一人の悩みの相談にのるなどの個人面談を年間何回行いましたか（臨時の相談等は除きます）,,s22,一人一人の悩みの相談にのる,,1,
教職員の取組,学校,児童に対して、将来就きたい仕事や夢について考えさせるような具体的な活動を行いましたか,,s23,将来就きたい仕事や夢,,1,
校内研修・委嘱研究の状況,学校,校内研修を年間何回行いましたか,,s24,校内研修を年間何回,,1,
校内研修・委嘱研究の状況,学校,校内研修について、実施した内容を選んでください（複数回答可）,m,s25,校内研修について,,1,
校内研修・委嘱研究の状況,学校,国、県、市町村からの委嘱研究について、研究した内容を選んでください（複数回答可）,m,s26,委嘱研究について,,1,
校内研修・委嘱研究の状況,学校,教科の指導内容や指導方法について、近隣の中学校と教職員の合同研修を年間何回行いましたか,m,s27,近隣の.*と教職員の合同研修,,1,
校内研修・委嘱研究の状況,学校,研究授業（あるテーマに基づいた授業を他者に見てもらい、意見交換したり助言をもらうもの）をどのくらいの教員が行いましたか,m,s28,研究授業.*をどのくらいの教員が行いましたか,2017のみ,1,
管理職の学校の管理・運営,学校,目指す学校像や年度の重点目標等を決めるにあたり、職員会議以外の場で教職員から意見を聴取する機会を設けていましたか,,s29,目指す学校像や年度の重点目標等を決めるにあたり、職員会議以外の場で教職員から意見を聴取する機会を設けていましたか,2017のみ,1,
管理職の学校の管理・運営,学校,教員の授業の様子をどの程度見てまわりましたか,,s30,教員の授業の様子をどの程度見てまわりましたか,2017のみ,1,
管理職の学校の管理・運営,学校,授業改善をするために、教員間で話し合うような働きかけををどの程度行いましたか,,s31,教員間で話し合うような働きかけ,2017のみ,1,
管理職の学校の管理・運営,学校,校外での研修の参加を奨励しましたか,,s32,校外での研修の参加を奨励しましたか,2017のみ,1,
学年の状況,学年,"児童数（２８年５月１日現在）は何人でしたか
※該当がない場合は0を入力",,s33,(児童|生徒)数.*は何人でしたか,,1,
学年の状況,学年,"児童数（２８年５月１日現在）別のクラスを答えてください
※回答肢にあてはまるクラス数をそれぞれ数値で入力してください
　例：２０人以下のクラスが2クラスの場合、2と入力
※該当がない場合は0を入力",,s34,(児童|生徒)数.*別のクラス,特殊回答,1,
学年の状況,学年,日本語指導が必要な児童の人数（２８年５月１日現在）を次から選んでください,,s35,日本語指導が必要な.*の人数,,1,
学年の状況,学年,"就学援助を受けていた児童の人数（２９年３月３１日現在）は何人でしたか
※該当がない場合は0を入力",,s36,就学援助を受けていた.*の人数,,1,
学年の状況,学年,児童は熱意をもって勉強することができていましたか,,s37,熱意をもって勉強,,1,
学年の状況,学年,遅刻,,s38,遅刻,,1,
学年の状況,学年,不登校,,s39,不登校,,1,
学年の状況,学年,学習規律の確保,,s40,学習規律の確保,,1,
