koumoku,4,5,6,1,2,3
q1,H28_4年_（１）ア,H28_5年_（１）ア,H28_6年_（１）ア,H28_1年_（１）ア,H28_2年_（１）ア,H28_3年_（１）ア
q2,H28_4年_（１）イ,H28_5年_（１）イ,H28_6年_（１）イ,H28_1年_（１）イ,H28_2年_（１）イ,H28_3年_（１）イ
q3,H28_4年_（１）ウ,H28_5年_（１）ウ,H28_6年_（１）ウ,H28_1年_（１）ウ,H28_2年_（１）ウ,H28_3年_（１）ウ
q4,H28_4年_（２）ス,H28_5年_（２）ス,H28_6年_（２）ス,H28_1年_（２）ス,H28_2年_（２）ス,H28_3年_（２）ス
q5,H28_4年_（２）ウ,H28_5年_（２）ウ,H28_6年_（２）ウ,H28_1年_（２）ウ,H28_2年_（２）ウ,H28_3年_（２）ウ
q6,H28_4年_（２）サ,H28_5年_（２）サ,H28_6年_（２）サ,H28_1年_（２）サ,H28_2年_（２）サ,H28_3年_（２）サ
q7,H28_4年_（２）タ,H28_5年_（２）タ,H28_6年_（２）タ,H28_1年_（２）タ,H28_2年_（２）タ,H28_3年_（２）タ
q8,,,,,,
q9,,,,,,
q10,,,,,,
q11,,,,,,
q12,H28_4年_（２）ソ,H28_5年_（２）ソ,H28_6年_（２）ソ,H28_1年_（２）ソ,H28_2年_（２）ソ,H28_3年_（２）ソ
q13,H28_4年_（２）ト,H28_5年_（２）ト,H28_6年_（２）ト,H28_1年_（２）ト,H28_2年_（２）ト,H28_3年_（２）ト
q14,H28_4年_（２）ナ,H28_5年_（２）ナ,H28_6年_（２）ナ,H28_1年_（２）ナ,H28_2年_（２）ナ,H28_3年_（２）ナ
q15,H28_4年_（２）ケ,H28_5年_（２）ケ,H28_6年_（２）ケ,H28_1年_（２）ケ,H28_2年_（２）ケ,H28_3年_（２）ケ
q16,,,,,,
q17,,,,,,
q18,H28_4年_（２）ア,H28_5年_（２）ア,H28_6年_（２）ア,H28_1年_（２）ア,H28_2年_（２）ア,H28_3年_（２）ア
q19,H28_4年_（２）ツ,H28_5年_（２）ツ,H28_6年_（２）ツ,H28_1年_（２）ツ,H28_2年_（２）ツ,H28_3年_（２）ツ
q20,H28_4年_（２）セ,H28_5年_（２）セ,H28_6年_（２）セ,H28_1年_（２）セ,H28_2年_（２）セ,H28_3年_（２）セ
q21,H28_4年_（２）ネ,H28_5年_（２）ネ,H28_6年_（２）ネ,H28_1年_（２）ネ,H28_2年_（２）ネ,H28_3年_（２）ネ
q22,,,,,,
q23,,,,,,
q24,H28_4年_（２）シ,H28_5年_（２）シ,H28_6年_（２）シ,H28_1年_（２）シ,H28_2年_（２）シ,H28_3年_（２）シ
q25,H28_4年_（２）チ,H28_5年_（２）チ,H28_6年_（２）チ,H28_1年_（２）チ,H28_2年_（２）チ,H28_3年_（２）チ
q26,H28_4年_（２）テ,H28_5年_（２）テ,H28_6年_（２）テ,H28_1年_（２）テ,H28_2年_（２）テ,H28_3年_（２）テ
q27,H28_4年_（２）イ,H28_5年_（２）イ,H28_6年_（２）イ,H28_1年_（２）イ,H28_2年_（２）イ,H28_3年_（２）イ
q28,H28_4年_（２）コ,H28_5年_（２）コ,H28_6年_（２）コ,H28_1年_（２）コ,H28_2年_（２）コ,H28_3年_（２）コ
q29,H28_4年_（２）ヌ,H28_5年_（２）ヌ,H28_6年_（２）ヌ,H28_1年_（２）ヌ,H28_2年_（２）ヌ,H28_3年_（２）ヌ
q30,H28_4年_（２）エ,H28_5年_（２）エ,H28_6年_（２）エ,H28_1年_（２）エ,H28_2年_（２）エ,H28_3年_（２）エ
