カラム名2,H30項目タイトル,小4,小5,小6,中1,中2,中3
q1,勉強することが楽しい，好きだから,Q00000000010,Q00000001080,Q00000001980,Q00000002840,Q00000003700,Q00000004720
q2,将来の進学や就職の役に立つから,Q00000000020,Q00000001090,Q00000001990,Q00000002850,Q00000003710,Q00000004730
q3,先生や家の人にほめられたいから,Q00000000030,Q00000001100,Q00000002000,Q00000002860,Q00000003720,Q00000004740
q192,学校の友達に認められたいから,Q00000000040,Q00000001110,Q00000002010,Q00000002870,Q00000003730,Q00000004750
q4,勉強のやり方が，自分に合っているかどうかを考えながら勉強する,Q00000000170,Q00000001240,Q00000002140,Q00000003000,Q00000003860,Q00000004880
q5,勉強でわからないところがあったら，勉強のやり方をいろいろ変えてみる,Q00000000070,Q00000001140,Q00000002040,Q00000002900,Q00000003760,Q00000004780
q6,勉強しているときに，やった内容を覚えているかどうかを確かめる,Q00000000150,Q00000001220,Q00000002120,Q00000002980,Q00000003840,Q00000004860
q7,勉強する前に，これから何を勉強しなければならないかについて考える,Q00000000200,Q00000001270,Q00000002170,Q00000003030,Q00000003890,Q00000004910
q8,,,,,,,
q9,,,,,,,
q10,,,,,,,
q11,,,,,,,
q12,勉強するときは，最初に計画を立ててから始める,Q00000000190,Q00000001260,Q00000002160,Q00000003020,Q00000003880,Q00000004900
q13,勉強をしているときに，やっていることが正しくできているかどうかを確かめる,Q00000000240,Q00000001310,Q00000002210,Q00000003070,Q00000003930,Q00000004950
q14,勉強するときは，自分で決めた計画に沿って行う,Q00000000250,Q00000001320,Q00000002220,Q00000003080,Q00000003940,Q00000004960
q15,勉強しているとき，たまに止まって，一度やったところを見直す,Q00000000130,Q00000001200,Q00000002100,Q00000002960,Q00000003820,Q00000004840
q16,,,,,,,
q17,,,,,,,
q18,勉強するときは，参考書や事典などがすぐ使えるように準備しておく,Q00000000050,Q00000001120,Q00000002020,Q00000002880,Q00000003740,Q00000004760
q19,勉強する前に，勉強に必要な本などを用意してから勉強するようにしている,Q00000000220,Q00000001290,Q00000002190,Q00000003050,Q00000003910,Q00000004930
q20,勉強していて大切だと思ったところは，言われなくてもノートにまとめる,Q00000000180,Q00000001250,Q00000002150,Q00000003010,Q00000003870,Q00000004890
q21,勉強で大切なところは，繰り返して書くなどして覚える,Q00000000280,Q00000001350,Q00000002250,Q00000003110,Q00000003970,Q00000004990
q22,,,,,,,
q23,,,,,,,
q24,勉強でわからないところがあったら，友達にその答えをきく,Q00000000160,Q00000001230,Q00000002130,Q00000002990,Q00000003850,Q00000004870
q25,勉強でわからないところがあったら，友達に勉強のやり方をきく,Q00000000210,Q00000001280,Q00000002180,Q00000003040,Q00000003900,Q00000004920
q26,勉強のできる友達と，同じやり方で勉強する,Q00000000230,Q00000001300,Q00000002200,Q00000003060,Q00000003920,Q00000004940
