koumoku,4,5,6,1,2,3
q138,H27_4年_質問1,H27_5年_質問1,H27_6年_質問1,H27_1年_質問1,H27_2年_質問1,H27_3年_質問1
q132,H27_4年_質問2,H27_5年_質問2,H27_6年_質問2,H27_1年_質問2,H27_2年_質問2,H27_3年_質問2
q133,H27_4年_質問3,H27_5年_質問3,H27_6年_質問3,H27_1年_質問3,H27_2年_質問3,H27_3年_質問3
q134,H27_4年_質問4,H27_5年_質問4,H27_6年_質問4,H27_1年_質問4,H27_2年_質問4,H27_3年_質問4
q135,H27_4年_質問5,H27_5年_質問5,H27_6年_質問5,H27_1年_質問5,H27_2年_質問5,H27_3年_質問5
q136,,,,,H27_2年_質問6,H27_3年_質問6
q137,,,,,H27_2年_質問7,H27_3年_質問7
q120,H27_4年_質問6,H27_5年_質問6,H27_6年_質問6,H27_1年_質問6,H27_2年_質問8,H27_3年_質問8
q121,H27_4年_質問7,H27_5年_質問7,H27_6年_質問7,H27_1年_質問7,H27_2年_質問9,H27_3年_質問9
q122,H27_4年_質問8,H27_5年_質問8,H27_6年_質問8,H27_1年_質問8,H27_2年_質問10,H27_3年_質問10
q123,H27_4年_質問9,H27_5年_質問9,H27_6年_質問9,H27_1年_質問9,H27_2年_質問11,H27_3年_質問11
q124,H27_4年_質問10,H27_5年_質問10,H27_6年_質問10,H27_1年_質問10,H27_2年_質問12,H27_3年_質問12
q125,H27_4年_質問11,H27_5年_質問11,H27_6年_質問11,H27_1年_質問11,H27_2年_質問13,H27_3年_質問13
q126,H27_4年_質問12,H27_5年_質問12,H27_6年_質問12,H27_1年_質問12,H27_2年_質問14,H27_3年_質問14
q127,H27_4年_質問13,H27_5年_質問13,H27_6年_質問13,H27_1年_質問13,H27_2年_質問15,H27_3年_質問15
q128,H27_4年_質問14,H27_5年_質問14,H27_6年_質問14,H27_1年_質問14,H27_2年_質問16,H27_3年_質問16
q129,H27_4年_質問15,H27_5年_質問15,H27_6年_質問15,H27_1年_質問15,H27_2年_質問17,H27_3年_質問17
q130,H27_4年_質問16,H27_5年_質問16,H27_6年_質問16,H27_1年_質問16,H27_2年_質問18,H27_3年_質問18
q131,H27_4年_質問17,H27_5年_質問17,H27_6年_質問17,H27_1年_質問17,H27_2年_質問19,H27_3年_質問19
q68,H27_4年_質問18,H27_5年_質問18,H27_6年_質問18,H27_1年_質問18,H27_2年_質問20,H27_3年_質問20
q69,H27_4年_質問19,H27_5年_質問19,H27_6年_質問19,H27_1年_質問19,H27_2年_質問21,H27_3年_質問21
q139,H27_4年_質問20,H27_5年_質問20,H27_6年_質問20,H27_1年_質問20,H27_2年_質問22,H27_3年_質問22
q140,H27_4年_質問21,H27_5年_質問21,H27_6年_質問21,H27_1年_質問21,H27_2年_質問23,H27_3年_質問23
q141,H27_4年_質問22,H27_5年_質問22,H27_6年_質問22,H27_1年_質問22,H27_2年_質問24,H27_3年_質問24
q142,,H27_5年_質問23,H27_6年_質問23,H27_1年_質問23,H27_2年_質問25,H27_3年_質問25
q70,H27_4年_質問23,H27_5年_質問24,H27_6年_質問24,H27_1年_質問24,H27_2年_質問26,H27_3年_質問26
q71,H27_4年_質問24,H27_5年_質問25,H27_6年_質問25,H27_1年_質問25,H27_2年_質問27,H27_3年_質問27
q72,,H27_5年_質問26,H27_6年_質問26,H27_1年_質問26,H27_2年_質問28,H27_3年_質問28
q143,H27_4年_質問25,H27_5年_質問27,H27_6年_質問27,H27_1年_質問27,H27_2年_質問29,H27_3年_質問29
