カラム名2,H29項目タイトル,小4,小5,小6,中1,中2,中3
q1,勉強することが楽しい，好きだから,Q00000000010,Q00000000890,Q00000001730,Q00000002570,Q00000003460,Q00000004410
q2,将来の進学や就職の役に立つから,Q00000000020,Q00000000900,Q00000001740,Q00000002580,Q00000003470,Q00000004420
q3,先生や家の人にほめられたいから,Q00000000030,Q00000000910,Q00000001750,Q00000002590,Q00000003480,Q00000004430
q192,学校の友達に認められたいから,Q00000000040,Q00000000920,Q00000001760,Q00000002600,Q00000003490,Q00000004440
q4,勉強のやり方が，自分に合っているかどうかを考えながら勉強する,Q00000000170,Q00000001050,Q00000001890,Q00000002730,Q00000003620,Q00000004570
q5,勉強でわからないところがあったら，勉強のやり方をいろいろ変えてみる,Q00000000070,Q00000000950,Q00000001790,Q00000002630,Q00000003520,Q00000004470
q6,勉強しているときに，やった内容を覚えているかどうかを確かめる,Q00000000150,Q00000001030,Q00000001870,Q00000002710,Q00000003600,Q00000004550
q7,勉強する前に，これから何を勉強しなければならないかについて考える,Q00000000200,Q00000001080,Q00000001920,Q00000002760,Q00000003650,Q00000004600
q8,,,,,,,
q9,,,,,,,
q10,,,,,,,
q11,,,,,,,
q12,勉強するときは，最初に計画を立ててから始める,Q00000000190,Q00000001070,Q00000001910,Q00000002750,Q00000003640,Q00000004590
q13,勉強をしているときに，やっていることが正しくできているかどうかを確かめる,Q00000000240,Q00000001120,Q00000001960,Q00000002800,Q00000003690,Q00000004640
q14,勉強するときは，自分で決めた計画に沿って行う,Q00000000250,Q00000001130,Q00000001970,Q00000002810,Q00000003700,Q00000004650
q15,勉強しているとき，たまに止まって，一度やったところを見直す,Q00000000130,Q00000001010,Q00000001850,Q00000002690,Q00000003580,Q00000004530
q16,,,,,,,
q17,,,,,,,
q18,勉強するときは，参考書や事典などがすぐ使えるように準備しておく,Q00000000050,Q00000000930,Q00000001770,Q00000002610,Q00000003500,Q00000004450
q19,勉強する前に，勉強に必要な本などを用意してから勉強するようにしている,Q00000000220,Q00000001100,Q00000001940,Q00000002780,Q00000003670,Q00000004620
q20,勉強していて大切だと思ったところは，言われなくてもノートにまとめる,Q00000000180,Q00000001060,Q00000001900,Q00000002740,Q00000003630,Q00000004580
q21,勉強で大切なところは，繰り返して書くなどして覚える,Q00000000280,Q00000001160,Q00000002000,Q00000002840,Q00000003730,Q00000004680
q22,,,,,,,
q23,,,,,,,
q24,勉強でわからないところがあったら，友達にその答えをきく,Q00000000160,Q00000001040,Q00000001880,Q00000002720,Q00000003610,Q00000004560
q25,勉強でわからないところがあったら，友達に勉強のやり方をきく,Q00000000210,Q00000001090,Q00000001930,Q00000002770,Q00000003660,Q00000004610
q26,勉強のできる友達と，同じやり方で勉強する,Q00000000230,Q00000001110,Q00000001950,Q00000002790,Q00000003680,Q00000004630
q27,勉強するときは，最後に友達と答え合わせをするようにする,Q00000000060,Q00000000940,Q00000001780,Q00000002620,Q00000003510,Q00000004460
q28,勉強するときは，内容を頭に思い浮かべながら考える,Q00000000140,Q00000001020,Q00000001860,Q00000002700,Q00000003590,Q00000004540
q29,勉強をするときは，内容を自分の知っている言葉で理解するようにする,Q00000000270,Q00000001150,Q00000001990,Q00000002830,Q00000003720,Q00000004670
q30,勉強していてわからないところがあったら，先生にきく,Q00000000080,Q00000000960,Q00000001800,Q00000002640,Q00000003530,Q00000004480
q31,新しいことを勉強するとき，今までに勉強したことと関係があるかどうかを考えながら勉強する,Q00000000120,Q00000001000,Q00000001840,Q00000002680,Q00000003570,Q00000004520
q32,,,,,,,
q33,,,,,,,
q34,,,,,,,
q35,学校の勉強をしているとき，とてもめんどうでつまらないと思うことがよくあるので，やろうとしていたことを終える前にやめてしまう,Q00000000100,Q00000000980,Q00000001820,Q00000002660,Q00000003550,Q00000004500
q36,今やっていることが気に入らなかったとしても，学校の勉強でよい成績をとるために一生懸命がんばる,Q00000000260,Q00000001140,Q00000001980,Q00000002820,Q00000003710,Q00000004660
q37,授業の内容が難しいときは，やらずにあきらめるか，簡単なところだけ勉強する,Q00000000110,Q00000000990,Q00000001830,Q00000002670,Q00000003560,Q00000004510
q38,問題が退屈でつまらないときでも，それが終わるまでなんとかやり続けられるように努力する,Q00000000090,Q00000000970,Q00000001810,Q00000002650,Q00000003540,Q00000004490
q39,授業で必要なものを忘れた,0,Q00000001170,0,0,Q00000003740,0
q40,他の子たちが話をしているときに，その子たちのじゃまをした,0,Q00000001180,0,0,Q00000003750,0
q41,何か乱暴なことを言った,0,Q00000001190,0,0,Q00000003760,0
q42,机・ロッカー・部屋が散らかっていたので，必要なものを見つけることができなかった,0,Q00000001200,0,0,Q00000003770,0
q43,家や学校で頭にきて人やものにあたった,0,Q00000001210,0,0,Q00000003780,0
q44,先生が，自分に対して言っていたことを思い出すことができなかった,0,Q00000001220,0,0,Q00000003790,0
q45,きちんと話を聞かないといけないときにぼんやりしていた,0,Q00000001230,0,0,Q00000003800,0
q46,イライラしているときに，先生や家の人（兄弟姉妹を除きます）に口答えをした,0,Q00000001240,0,0,Q00000003810,0
