カラム名2,大項目,中項目,R2項目タイトル,小4,小5,小6,中1,中2,中3
q138,あなた自身,,あなたの生まれた月はいつですか,Q00000000901,Q00000001941,Q00000002841,Q00000003741,Q00000004711,Q00000005681
q138,,,あなたの生まれた月はいつですか,Q00000000902,Q00000001942,Q00000002842,Q00000003742,Q00000004712,Q00000005682
q138,,,あなたの生まれた月はいつですか,Q00000000903,Q00000001943,Q00000002843,Q00000003743,Q00000004713,Q00000005683
q1,勉強について,,勉強することが楽しい，好きだから,Q00000000010,Q00000000920,Q00000001960,Q00000002860,Q00000003760,Q00000004730
q2,,,将来の進学や就職の役に立つから,Q00000000020,Q00000000930,Q00000001970,Q00000002870,Q00000003770,Q00000004740
q3,,,先生や家の人にほめられたいから,Q00000000030,Q00000000940,Q00000001980,Q00000002880,Q00000003780,Q00000004750
q192,,,学校の友達に認められたいから,Q00000000040,Q00000000950,Q00000001990,Q00000002890,Q00000003790,Q00000004760
q4,学習方略すべて,柔軟的方略,勉強のやり方が，自分に合っているかどうかを考えながら勉強する,Q00000000170,Q00000001080,Q00000002120,Q00000003020,Q00000003920,Q00000004890
q5,(2),,勉強でわからないところがあったら，勉強のやり方をいろいろ変えてみる,Q00000000070,Q00000000980,Q00000002020,Q00000002920,Q00000003820,Q00000004790
q6,低いほど良い,,勉強しているときに，やった内容を覚えているかどうかを確かめる,Q00000000150,Q00000001060,Q00000002100,Q00000003000,Q00000003900,Q00000004870
q7,,,勉強する前に，これから何を勉強しなければならないかについて考える,Q00000000200,Q00000001110,Q00000002150,Q00000003050,Q00000003950,Q00000004920
q8,,,,,,,,,
q9,,,,,,,,,
q10,,,,,,,,,
q11,,,,,,,,,
q12,,プランニング方略,勉強するときは，最初に計画を立ててから始める,Q00000000190,Q00000001100,Q00000002140,Q00000003040,Q00000003940,Q00000004910
q13,,,勉強をしているときに，やっていることが正しくできているかどうかを確かめる,Q00000000240,Q00000001150,Q00000002190,Q00000003090,Q00000003990,Q00000004960
q14,,,勉強するときは，自分で決めた計画に沿って行う,Q00000000250,Q00000001160,Q00000002200,Q00000003100,Q00000004000,Q00000004970
q15,,,勉強しているとき，たまに止まって，一度やったところを見直す,Q00000000130,Q00000001040,Q00000002080,Q00000002980,Q00000003880,Q00000004850
q16,,,,,,,,,
q17,,,,,,,,,
q18,,作業方略,勉強するときは，参考書や事典などがすぐ使えるように準備しておく,Q00000000050,Q00000000960,Q00000002000,Q00000002900,Q00000003800,Q00000004770
q19,,,勉強する前に，勉強に必要な本などを用意してから勉強するようにしている,Q00000000220,Q00000001130,Q00000002170,Q00000003070,Q00000003970,Q00000004940
q20,,,勉強していて大切だと思ったところは，言われなくてもノートにまとめる,Q00000000180,Q00000001090,Q00000002130,Q00000003030,Q00000003930,Q00000004900
q21,,,勉強で大切なところは，繰り返して書くなどして覚える,Q00000000280,Q00000001190,Q00000002230,Q00000003130,Q00000004030,Q00000005000
q22,,,,,,,,,
q23,,,,,,,,,
q24,,人的リソース方略,勉強でわからないところがあったら，友達にその答えをきく,Q00000000160,Q00000001070,Q00000002110,Q00000003010,Q00000003910,Q00000004880
q25,,,勉強でわからないところがあったら，友達に勉強のやり方をきく,Q00000000210,Q00000001120,Q00000002160,Q00000003060,Q00000003960,Q00000004930
q26,,,勉強のできる友達と，同じやり方で勉強する,Q00000000230,Q00000001140,Q00000002180,Q00000003080,Q00000003980,Q00000004950
q27,,,勉強するときは，最後に友達と答え合わせをするようにする,Q00000000060,Q00000000970,Q00000002010,Q00000002910,Q00000003810,Q00000004780
q28,,認知的方略,勉強するときは，内容を頭に思い浮かべながら考える,Q00000000140,Q00000001050,Q00000002090,Q00000002990,Q00000003890,Q00000004860
q29,,,勉強をするときは，内容を自分の知っている言葉で理解するようにする,Q00000000270,Q00000001180,Q00000002220,Q00000003120,Q00000004020,Q00000004990
q30,,,勉強していてわからないところがあったら，先生にきく,Q00000000080,Q00000000990,Q00000002030,Q00000002930,Q00000003830,Q00000004800
q31,,,新しいことを勉強するとき，今までに勉強したことと関係があるかどうかを考えながら勉強する,Q00000000120,Q00000001030,Q00000002070,Q00000002970,Q00000003870,Q00000004840
q32,,,,,,,,,
q33,,,,,,,,,
q34,,,,,,,,,
q35,,努力調整方略,学校の勉強をしているとき，とてもめんどうでつまらないと思うことがよくあるので，やろうとしていたことを終える前にやめてしまう,Q00000000100,Q00000001010,Q00000002050,Q00000002950,Q00000003850,Q00000004820
q36,,,今やっていることが気に入らなかったとしても，学校の勉強でよい成績をとるために一生懸命がんばる,Q00000000260,Q00000001170,Q00000002210,Q00000003110,Q00000004010,Q00000004980
q37,,,授業の内容が難しいときは，やらずにあきらめるか，簡単なところだけ勉強する,Q00000000110,Q00000001020,Q00000002060,Q00000002960,Q00000003860,Q00000004830
q38,,,問題が退屈でつまらないときでも，それが終わるまでなんとかやり続けられるように努力する,Q00000000090,Q00000001000,Q00000002040,Q00000002940,Q00000003840,Q00000004810
q39,セルフコントロール,,授業で必要なものを忘れた,,Q00000001380,,,Q00000004040,
q40,低いほど良い,,他の子たちが話をしているときに，その子たちのじゃまをした,,Q00000001390,,,Q00000004050,
q41,,,何か乱暴なことを言った,,Q00000001400,,,Q00000004060,
q42,,,机・ロッカー・部屋が散らかっていたので，必要なものを見つけることができなかった,,Q00000001410,,,Q00000004070,
q43,,,家や学校で頭にきて人やものにあたった,,Q00000001420,,,Q00000004080,
q44,,,先生が，自分に対して言っていたことを思い出すことができなかった,,Q00000001430,,,Q00000004090,
q45,,,きちんと話を聞かないといけないときにぼんやりしていた,,Q00000001440,,,Q00000004100,
q46,,,イライラしているときに，先生や家の人（兄弟姉妹を除きます）に口答えをした,,Q00000001450,,,Q00000004110,
q47,自己効力感,,授業ではよい評価をもらえるだろうと信じている,,,Q00000002240,,,Q00000005010
q48,低いほど良い,,教科書の中で一番難しい問題も理解できると思う,,,Q00000002250,,,Q00000005020
q49,,,授業で教えてもらった基本的なことは理解できたと思う,,,Q00000002260,,,Q00000005030
q50,,,先生が出した一番難しい問題も理解できると思う,,,Q00000002270,,,Q00000005040
q51,,,学校の宿題や試験でよい成績をとることができると思う,,,Q00000002280,,,Q00000005050
q52,,,学校でよい成績をとることができるだろうと思う,,,Q00000002290,,,Q00000005060
